title,content,source_name,published_at
[Removed],[Removed],[Removed],2024-11-18T13:00:41Z
Keeping Your Personal Data Safe in the Age of Trump,Leah Feiger: Let's talk about what you guys do. How do you lock up your cybersecurity? Do you use flip phones? What is your cloud storage? Are you only on Signal? All of these things I'm referencing … [+2640 chars],Wired,2024-12-06T19:22:32Z
The Crypto Industry Is Helping Trump Pick SEC Chair,"In July, at a bitcoin conference in Nashville, Tennessee, Trump pledged to fire Gensler if reelected, drawing perhaps the most raucous applause of the night. I will appoint an SEC chair who will buil… [+2635 chars]",Wired,2024-11-26T16:23:34Z
'I'm the UK's number one Trump impersonator',"A Donald Trump impressionist has said his phone did not stop ringing after the result of the 2024 US presidential election.
Mike Osman, a comedian from Southampton, was almost ready to retire his bl… [+1666 chars]",BBC News,2024-11-24T07:30:35Z
Trump is probably going to kill the crash reporting rule that made Tesla look bad,"Trump is probably going to kill the crash reporting rule that made Tesla look bad
Trump is probably going to kill the crash reporting rule that made Tesla look bad
 / Under the NHTSA rule, Tesla wa… [+3091 chars]",The Verge,2024-12-13T18:09:09Z
Tim Cook is the latest tech CEO to meet with Trump at Mar-a-Lago,"Tim Cook is the latest tech CEO to meet with Trump at Mar-a-Lago
Tim Cook is the latest tech CEO to meet with Trump at Mar-a-Lago
 / Cook established a personal relationship with the President-elec… [+1401 chars]",The Verge,2024-12-14T00:24:15Z
Trump Reportedly Set to Attend Sixth SpaceX Starship Launch Today,"Donald Trump is reportedly attending the highly-anticipated sixth test launch of SpaceX’s Starship rocket, as the president elect gets more chummy with rocket billionaire Elon Musk.
Starship is gett… [+2734 chars]",Gizmodo.com,2024-11-19T19:05:15Z
Watch: Trump joins Musk to watch Starship test launch,"President-elect Donald Trump joined Elon Musk in Brownsville, Texas to watch the sixth test launch of a SpaceX Starship spacecraft. 
SpaceX was reattempting an operation where the rocket booster is … [+495 chars]",BBC News,2024-11-19T22:48:48Z
Trump picks Covid lockdown critic to lead top health agency,"US President-elect Donald Trump has picked a leading Covid lockdown sceptic Jay Bhattacharya to be the next director of a key US public health agency.
Trump said he had selected the Stanford Univers… [+2740 chars]",BBC News,2024-11-27T01:44:08Z
Prosecutors back delaying Trump sentence until he leaves White House,"New York prosecutors have vowed to oppose President-elect Donald Trumps effort to overturn his criminal conviction, but they expressed a willingness to wait to sentence him until he completes his upc… [+3967 chars]",BBC News,2024-11-19T19:01:03Z
California is ready to pick a fight with Trump if he kills the federal EV tax credit,"California is ready to pick a fight with Trump if he kills the federal EV tax credit
California is ready to pick a fight with Trump if he kills the federal EV tax credit
 / Governor Gavin Newsom sa… [+3089 chars]",The Verge,2024-11-25T15:21:05Z
Trump beats Zhang to reach UK Championship semis,"World number one Judd Trump produced a devastating display of attacking snooker on his way to a 6-2 win over Zhang Anda and the semi-finals of the UK Championship at the Barbican in York.
Trump, who… [+1346 chars]",BBC News,2024-11-29T15:50:22Z
Trump recovers to beat Robertson at UK Championship,"Earlier on Tuesday, four-time world champion Higgins produced a superb performance to gain a 6-0 win over China's He Guoqiang and move into the last 16 of the UK Championship.
Higgins, 49, made brea… [+812 chars]",BBC News,2024-11-26T17:13:35Z
"Trump threatens China, Mexico and Canada with new tariffs","Donald Trump says he will hit China, Mexico and Canada with new tariffs on day one of his presidency, in an effort to crack down on drug and people smuggling into the US.
The president-elect said th… [+1885 chars]",BBC News,2024-11-26T01:09:12Z
FBI Director Christopher Wray to resign before Trump takes office,"Christopher Wray, the head of the Federal Bureau of Investigations (FBI), says he will resign from his post before President-elect Donald Trump takes office next month.
Mr Wray announced his impendi… [+470 chars]",BBC News,2024-12-11T19:46:22Z
Xi Jinping not expected to attend Trump inauguration,"Chinese President Xi Jinping is unlikely to attend the US presidential inauguration in January despite an invitation from Donald Trump, according to two people familiar with the planning.
China's am… [+2218 chars]",BBC News,2024-12-13T19:51:38Z
Trump Guitars Slapped With Cease and Desist for Copying Gibson Design: Report,"Donald Trump started hawking new Trump-branded electric guitars last week, billed as “the ONLY guitars endorsed by President Donald J. Trump!” The guitars look like they’re in the style of Gibson-bra… [+2812 chars]",Gizmodo.com,2024-11-26T13:55:20Z
Supreme Court to Determine Whether Trump Voters Should Have Cheap Internet or Not,"Do rural, low-income communities have a right to federally subsidized internet access? Or should they be thrown offline if they can’t afford to pay their utility bills? This is the question that our … [+3729 chars]",Gizmodo.com,2024-11-25T22:00:49Z
Trump vows to end birthright citizenship and pardon US Capitol rioters,"Trump begins his second presidential term in January and has told NBC he will issue a range of new executive orders
President-elect Donald Trump has said he will look at pardons for those involved i… [+4655 chars]",BBC News,2024-12-09T00:18:11Z
Trump and Xi Jinping’s ‘rollercoaster’ relationship has soured - can they rebuild it?,"Donald Trump once declared that he and Chinese President Xi Jinping love each other
In a sports park next to the red walls and glossy blue tiles which surround Beijings Temple of Heaven, a group of … [+12915 chars]",BBC News,2024-11-19T03:35:01Z
Time names Donald Trump person of the year for second time,"Time Magazine has named Donald Trump as their person of the year for the second time. 
""For marshaling a comeback of historic proportions, for driving a once-in-a- generation political realignment, … [+2590 chars]",BBC News,2024-12-12T13:15:31Z
Trump picks Pam Bondi as attorney general after Matt Gaetz withdraws,"President-elect Donald Trump has nominated long-time ally and veteran prosecutor Pam Bondi as his new pick for attorney general, hours after Matt Gaetz withdrew his name from consideration. 
Bondi h… [+2703 chars]",BBC News,2024-11-22T01:50:30Z
From Trump opponent to Trump loyalist: The evolution of Marco Rubio,"President-elect Donald Trump with U.S. Sen. Marco Rubio (R-FL) earlier this month. Rubio is Trump's pick for Secretary of State.
Chip Somodevilla/Getty Images
When compared to some of president-ele… [+1010 chars]",NPR,2024-11-17T21:39:32Z
The Trump Organization: Everything to know about the Trump family business,"The Trump family businesses have been involved in everything from real estate to crypto.AP Photo/Evan Vucci
<ul><li>Trump took over the family real estate business in 1971 and used it to build his b… [+10814 chars]",Business Insider,2024-12-13T20:51:30Z
Elon Musk's Trump bump keeps growing,"Elon Musk's Trump support is boosting business numbers.The Washington Post/The Washington Post via Getty Images
<ul><li>Elon Musk's businesses are thriving from his relationship with Trump, boosting… [+1797 chars]",Business Insider,2024-11-15T18:20:32Z
Why Trump is threatening Canada with tariffs,Canadian Prime Minister Justin Trudeau focused on his country's longstanding trade relationship with the US when asked about President-elect Donald Trump's tariff threats.NICHOLAS KAMM/AFP via Getty … [+4696 chars],Business Insider,2024-11-27T10:00:02Z
Trump nominates billionaire SpaceX astronaut Jared Isaacman to lead NASA,"The man who commanded multiple space missions for Elon Musk has been nominated to lead NASA.
President-elect Donald Trump nominated Jared Isaacman, the billionaire and repeat SpaceX astronaut, to be… [+3407 chars]",Business Insider,2024-12-04T18:07:24Z
Donald Trump,"Three days before Thanksgiving, the former and future President of the United States is sitting in the sun-filled dining room of his Florida home and private club. In the lavish reception area, more … [+4857 chars]",Time,2024-12-12T12:40:00Z
