title,description,source_name,published_at,URL
[Removed],[Removed],[Removed],2024-11-18T13:00:41Z,https://removed.com
Keeping Your Personal Data Safe in the Age of Trump,"Our security and business editors join us to discuss how you can protect your personal information from data brokers, tech companies, scammers, and the government.",Wired,2024-12-06T19:22:32Z,https://www.wired.com/story/politics-lab-keeping-your-personal-data-safe/
The Crypto Industry Is Helping Trump Pick SEC Chair,"The president-elect's transition team is consulting with industry leaders as it vets potential replacements for outgoing chair Gary Gensler, sources tell WIRED.",Wired,2024-11-26T16:23:34Z,https://www.wired.com/story/crypto-candidates-front-runners-sec-race/
'I'm the UK's number one Trump impersonator',Donald Trump impressionist Mike Osman is inspired to keep performing after the US election.,BBC News,2024-11-24T07:30:35Z,https://www.bbc.com/news/articles/c5yxzrlge59o
Trump is probably going to kill the crash reporting rule that made Tesla look bad,Donald Trump’s transition team is considering getting rid of a rule that requires Tesla and other automakers to report crashes involving fully and partially autonomous vehicles.,The Verge,2024-12-13T18:09:09Z,https://www.theverge.com/2024/12/13/24320515/trump-tesla-crash-reporting-adas-nhtsa-sgo
Tim Cook is the latest tech CEO to meet with Trump at Mar-a-Lago,Apple CEO Tim Cook will be meeting Friday with President-elect Donald Trump at his Mar-a-Lago resort in Florida. It’s reportedly Cook’s first time meeting with Trump since the election.,The Verge,2024-12-14T00:24:15Z,https://www.theverge.com/2024/12/13/24320839/donald-trump-tim-cook-mar-a-lago
Trump Reportedly Set to Attend Sixth SpaceX Starship Launch Today,"The pair, who seem attached at the hip these days, are scheduled to watch Starship's takeoff during a pivotal transitional period for the private space sector.",Gizmodo.com,2024-11-19T19:05:15Z,https://gizmodo.com/trump-reportedly-set-to-attend-sixth-spacex-starship-launch-today-2000526481
Watch: Trump joins Musk to watch Starship test launch,The president-elect visited the launch site in Texas to watch the spacecraft's sixth test flight.,BBC News,2024-11-19T22:48:48Z,https://www.bbc.com/news/videos/cz9x2nk1jyvo
Prosecutors back delaying Trump sentence until he leaves White House,"New York prosecutors have vowed to oppose President-elect Donald Trump’s effort to overturn his criminal conviction, however.",BBC News,2024-11-19T19:01:03Z,https://www.bbc.com/news/articles/czr72m57e1jo
Trump picks Covid lockdown critic to lead top health agency,"The physician and economist was the face of the Great Barrington Declaration, which opposed widespread lockdowns.",BBC News,2024-11-27T01:44:08Z,https://www.bbc.com/news/articles/cvg4yxmmg1zo
California is ready to pick a fight with Trump if he kills the federal EV tax credit,California Governor Gavin Newsom says he’ll bring back the state’s clean vehicle rebate if President-elect Trump follow through on his pledge to eliminate the EV tax credit.,The Verge,2024-11-25T15:21:05Z,https://www.theverge.com/2024/11/25/24305487/california-is-ready-to-pick-a-fight-with-trump-if-he-kills-the-federal-ev-tax-credit
Trump beats Zhang to reach UK Championship semis,"World number one Judd Trump produces a devastating display, beating Zhang Anda 6-2 to reach the UK Championship semi-finals.",BBC News,2024-11-29T15:50:22Z,https://www.bbc.com/sport/snooker/articles/c7042p2k1q5o
Trump recovers to beat Robertson at UK Championship,World number one Judd Trump fights back from 3-1 down to beat three-time UK champion Neil Robertson 6-3 and move into the last 16 in York.,BBC News,2024-11-26T17:13:35Z,https://www.bbc.com/sport/snooker/articles/c0793g7mzn9o
"Trump threatens China, Mexico and Canada with new tariffs",The president-elect said he plans to impose 25% tariffs on Mexico and Canada and an additional 10% on China on his first day in office.,BBC News,2024-11-26T01:09:12Z,https://www.bbc.com/news/articles/cvg7y52n411o
Xi Jinping not expected to attend Trump inauguration,"China's ambassador is expected to attend and other officials may join him, two people told the BBC's US partner CBS.",BBC News,2024-12-13T19:51:38Z,https://www.bbc.com/news/articles/cgm9jvek93po
FBI Director Christopher Wray to resign before Trump takes office,"He was nominated to the post by Donald Trump in 2017, but the president-elect has said he wants to replace him.",BBC News,2024-12-11T19:46:22Z,https://www.bbc.com/news/articles/ce902z8lp81o
Trump Guitars Slapped With Cease and Desist for Copying Gibson Design: Report,Gibson fiercely defends its trademarked guitar body shape.,Gizmodo.com,2024-11-26T13:55:20Z,https://gizmodo.com/trump-guitars-slapped-with-cease-and-desist-for-copying-gibson-design-report-2000529891
Supreme Court to Determine Whether Trump Voters Should Have Cheap Internet or Not,The court will seek to determine whether qualifying rural communities should receive federally funded internet access.,Gizmodo.com,2024-11-25T22:00:49Z,https://gizmodo.com/supreme-court-to-determine-whether-trump-voters-should-have-cheap-internet-or-not-2000529738
Trump vows to end birthright citizenship and pardon US Capitol rioters,The president-elect tells NBC he will make a number of decisions quickly after he takes office again.,BBC News,2024-12-09T00:18:11Z,https://www.bbc.com/news/articles/cj30er1d6mxo
Trump and Xi Jinping’s ‘rollercoaster’ relationship has soured - can they rebuild it?,What their dynamic means for the future of US-China relations,BBC News,2024-11-19T03:35:01Z,https://www.bbc.com/news/articles/cdxvdqg8214o
Time names Donald Trump person of the year for second time,The Republican president-elect also won the award in 2016 when he first won the presidency.,BBC News,2024-12-12T13:15:31Z,https://www.bbc.com/news/articles/c36e71wg7z9o
Trump picks Pam Bondi as attorney general after Matt Gaetz withdraws,Bondi is a former Florida attorney general and long-time ally of Trump.,BBC News,2024-11-22T01:50:30Z,https://www.bbc.com/news/articles/cjr4g50wxp2o
