title,source_name,published_at,URL,description
'Tired. Damn tired.' Some Black women are processing the grief of a Kamala Harris loss,NPR,2024-11-28T10:00:00Z,https://www.npr.org/2024/11/27/nx-s1-5193045/black-women-process-grief-kamala-harris-loss,"Most Black women voters supported Kamala Harris in her presidential run against Donald Trump. Now some say they are pulling back, to rest and mourn."
Kamala Harris' team wanted her to go on 'Hot Ones'. The show said no.,Business Insider,2024-11-27T12:12:23Z,https://www.businessinsider.com/kamala-harris-campaign-wanted-go-hot-ones-show-said-no-2024-11,"Kamala Harris' campaign sought an appearance on ""Hot Ones,"" but the show declined, citing its stance on delving into politics, campaign staff said."
"Box CEO Aaron Levie, who voted for Kamala Harris, explains why more Democrats should embrace Elon Musk",Business Insider,2024-11-21T09:00:02Z,https://www.businessinsider.com/box-ceo-aaron-levie-democrats-should-embrace-elon-musk-innovation-2024-11,"Box CEO Aaron Levie, who supported Kamala Harris for president, said more Democrats embracing Elon Musk would be good for innovation."
Kamala Harris' campaign has $1.8 million left in the bank after spending over $1 billion to defeat Donald Trump,Business Insider,2024-12-07T23:59:06Z,https://www.businessinsider.com/harris-leftover-money-campaign-spending-fec-2024-12,"From October 17 through November 25, which included a key stretch of the race, Vice President Harris raised $160 million and spent over $270 million."
First Statement From Kamala Harris Since Concession Leaves Supporters Confused and Dismayed,Yahoo Entertainment,2024-11-28T02:44:14Z,https://www.yahoo.com/news/first-statement-kamala-harris-since-024414596.html,"Vice President Kamala Harris delivered her first statement since conceding the presidential election in a call with supporters. After three weeks of silence,..."
Kamala Harris Shines in Metallic Bodice Dress at 2024 Kennedy Center Honors With Doug Emhoff,WWD,2024-12-09T15:25:33Z,https://wwd.com/pop-culture/celebrity-news/kamala-harris-dress-kennedy-center-honors-1236755770/,President Joe Biden and First Lady Jill Biden joined the U.S. vice president.
"‘Entire Democratic Party bears responsibility’ for Kamala Harris’ loss, says Adam Schiff",Yahoo Entertainment,2024-11-24T15:00:38Z,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_b0d2f10b-18dd-4c4b-aba7-aa4b807a9946,
Justin Trudeau Slams U.S.A. for Not Electing Kamala Harris,TMZ,2024-12-11T18:30:05Z,https://www.tmz.com/2024/12/11/justin-trudeau-roasts-usa-not-voting-kamala-harris/,Justin Trudeau's sure Kamala Harris would've made more progress for women than Donald Trump ... slamming the U.S. for not advancing feminism -- and branding himself as a feminist. The Prime Minister of Canada spoke at an event for the Equal Voice…
Why Kamala Harris Lost,Reason,2024-11-27T17:33:17Z,https://reason.com/2024/12/01/why-kamala-harris-lost/,"Being ""not Trump"" wasn't enough for voters who wanted ""not Biden."""
Democratic strategist begs Kamala Harris not to run again,TheBlaze,2024-11-29T20:00:00Z,https://www.theblaze.com/news/democratic-strategist-begs-kamala-harris-not-to-run-again,"Kamala Harris' first attempt to secure the White House was a colossal failure. While struggling to break out of the single digits in early state polls, Harris 
learned that a majority of Democrats in her home state of California wanted her to call it quits. S…"
"Donald Trump’s $10B “Generalized Grievance” Suit Over ’60 Minutes’ Sit-Down With Kamala Harris Should Be Tossed, CBS Exclaims",Deadline,2024-12-07T01:47:52Z,http://deadline.com/2024/12/trump-harris-60-minutes-lawsuit-cbs-latest-1236196833/,"Donald Trump was the winner in the election against Kamala Harris last month, but CBS believes the past and soon-to-be current POTUS should be the loser in his $10 billion so-called deceptive editing lawsuit over an October 60 Minutes interview with the Vice …"
Kamala Harris' Secret Service Catch Employee With Loaded Gun at Her Hotel,Biztoc.com,2024-11-28T08:20:04Z,https://biztoc.com/x/aeb629c8098696b9,"On Tuesday morning, an employee at San Francisco's Fairmont Hotel was arrested for allegedly bringing a loaded firearm to work during Vice President Kamala Harris's stay, according to ABC.
Around 7 a.m., the U.S. Secret Service detained the individual as he a…"
Kamala Harris Campaigned on 'Joy.' Now It's Republicans Having All the Fun,Biztoc.com,2024-11-20T19:14:08Z,https://biztoc.com/x/acc5c9ee3c701718,"How Donald Trump went from Democratic supervillain to silly dancing grandpa, and what that reflects in the wider culture."
Who Blew Up The Transgender Issues Attack On Kamala Harris?,Crooksandliars.com,2024-12-02T11:36:20Z,https://crooksandliars.com/2024/12/who-blew-transgender-issues-attack-kamala,"David Plouffe, a top adviser to the Kamala Harris presidential campaign, this week explained the failure to inspire independent voters: “This political environment sucked, okay?”
But political environments don’t just happen. They’re driven by governance, camp…"
Beyoncé's Mom Slams Rumor She Got $10 Million for Kamala Harris Rally,Eonline.com,2024-11-18T17:50:25Z,https://www.eonline.com/news/1410098/tina-knowles-addresses-claim-beyonce-was-paid-s10-million-to-speak-at-kamala-harris-rally,"You know you're Beyoncé when you cause all this conversation.
The ""Formation"" singer's mother Tina Knowles shut down rumors that her daughter was paid $10 million to speak at a Kamala Harris rally..."
$1.5 billion in 15 weeks: Kamala Harris’ INSANE campaign spending exposed,TheBlaze,2024-11-20T01:30:00Z,https://www.theblaze.com/shows/stu-does-america/kamala-harris-campaign-spending,"Kamala Harris’ campaign took a nosedive toward the end, and upon closer look, her wasteful spending may have played a major role — as the vice president reportedly burned through $1.5 billion within just 15 weeks.

“She was able to spend $1.5 billion in 15 we…"
"No Proof Photo Shows Kamala Harris, Hillary Clinton After Trump's Win",Snopes.com,2024-12-07T14:00:00Z,https://www.snopes.com//fact-check/harris-clinton-2024-election/,"A photo shared online on Nov. 7, 2024, authentically shows Hillary Clinton and Kamala Harris after the latter's 2024 presidential election loss."
[Removed],[Removed],2024-12-10T11:00:32Z,https://removed.com,[Removed]
Nate Silver calls for Biden to resign and let Kamala Harris take over after his appearance in Amazon rainforest,TheBlaze,2024-11-21T01:45:00Z,https://www.theblaze.com/news/nate-silver-biden-resign-kamala,Polling analyst Nate Silver joined the chorus of voices calling on President Joe Biden to resign after seeing the president's public appearance in the Amazon rainforest. Silver said that the president's refusal to take questions from the media at a precarious…
Kamala Harris advisers: Internal polling never showed VP ahead,Yahoo Entertainment,2024-11-27T22:55:13Z,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_12351293-e111-42a7-8314-1b5e9b5021bf,
"No, Kamala Harris Staffers Did Not Run a “Flawless” Campaign",Thenation.com,2024-12-10T16:52:06Z,https://www.thenation.com/article/politics/harris-democratic-staff-defeat-responsibility/,"Jeet Heer



Democratic strategists are still patting themselves on the back for a catastrophic defeat.




The post No, Kamala Harris Staffers Did Not Run a “Flawless” Campaign appeared first on The Nation."
The Left Didn’t Sink Kamala Harris. Here's What Did.,Thenation.com,2024-11-18T16:48:36Z,https://www.thenation.com/article/politics/corporate-democrats-not-woke-activists-doomed-kamala-harris/,"Waleed Shahid



It’s easier to blame activists, but far more powerful forces have led Democrats to neglect the real crises facing Americans.




The post The Left Didn’t Sink Kamala Harris. Here's What Did. appeared first on The Nation."
Kamala Harris Breaks Her Post-Election Silence With a Message to Supporters: “Keep Fighting”,Vanity Fair,2024-11-27T15:57:34Z,https://www.vanityfair.com/news/story/harris-breaks-post-election-silence-in-message-to-supporters-keep-fighting,"The vice president praised volunteers and donors in a 13-minute video, but didn’t address the reasons why she lost the election."
Time's Person of the Year 2024: 10 Finalists Revealed (Including Kate Middleton & Kamala Harris),Just Jared,2024-12-09T17:39:34Z,https://www.justjared.com/2024/12/09/times-person-of-the-year-2024-10-finalists-revealed-including-kate-middleton-kamala-harris/,"In December of each year, Time magazine reveals their choice for the new Person of the Year. In the days leading up to the choice, Time also reveals a shortlist of 10 contenders, all of whom could be named to the honor. Often, the choice is controversial and …"
