title,source_name,published_at,URL,description
Biden administration raises tariffs on solar materials from China,The Verge,2024-12-12T16:46:18Z,https://www.theverge.com/2024/12/12/24319521/china-tariffs-solar-energy-wafer-polysilicon-tungsten,Joe Biden has hiked tariffs on key materials from China that are needed for solar panels and other clean energy technologies.
The best Black Friday deals you may want to get before Trump’s tariffs,The Verge,2024-11-29T21:08:42Z,https://www.theverge.com/24305982/black-friday-2024-best-deals-tariffs-trump-save-ideas-cyber-monday,"The impending Trump administration’s threats of tariffs on countries like China, Mexico, and Canada may make tech and gadgets pricier. Here are the best deals available now."
"Trump threatens China, Mexico and Canada with new tariffs",BBC News,2024-11-26T01:09:12Z,https://www.bbc.com/news/articles/cvg7y52n411o,The president-elect said he plans to impose 25% tariffs on Mexico and Canada and an additional 10% on China on his first day in office.
Why Trump is threatening Canada with tariffs,Business Insider,2024-11-27T10:00:02Z,https://www.businessinsider.com/trump-us-canada-tariffs-trudeau-presidency-2024-11,"Justin Trudeau, Canada's prime minister, told reporters on Tuesday that he had a ""good"" conversation with Trump following the president-elect's post."
Trump's saber rattling about tariffs is unsettling China,Business Insider,2024-11-29T08:00:27Z,https://www.businessinsider.com/how-china-is-reacting-to-trump-tariffs-markets-manufacturing-2024-11,"Chinese firms are on edge and so are some of their US partners. Markets are relatively muted, though the yuan is down."
Trump's tariffs threat is dividing business owners across the country,NPR,2024-12-15T11:00:00Z,https://www.npr.org/2024/12/14/nx-s1-5226782/trump-tariffs-business-economy,"Businesses are divided over Trump's plan to impose sweeping tariffs. Some companies welcome the protection from foreign competition, while others worry about rising costs and retaliation."
"What the Last Trump Tariffs Did, According to Researchers",Harvard Business Review,2024-12-02T14:10:00Z,https://hbr.org/2024/12/what-the-last-trump-tariffs-did-according-to-researchers,"President-elect Trump has promised to impose 25% tariffs on all goods imported from Canada and Mexico, and tariffs as high as 60% on goods coming from China on day one of his new administration. What will these protectionist policies accomplish? Looking at re…"
Biden cautions Trump over imposing tariffs on Mexico and Canada: 'I hope he rethinks it',Business Insider,2024-11-28T23:35:33Z,https://www.businessinsider.com/biden-trump-tariffs-canada-mexico-white-house-2024-11,"Joe Biden said Donald Trump's plan to impose a 25% tariff on Mexican and Canadian imports is ""counterproductive."""
Why Trump’s Tariffs Could Raise Grocery Prices,Time,2024-11-19T22:22:22Z,https://time.com/7177699/trump-tariffs-grocery-prices/,"While Donald Trump has promised to ease voters' concerns about prices, experts say his proposed tariffs could raise the cost of groceries. Here's how."
"Trump focuses on tariffs, not retribution, in first network TV interview",NPR,2024-12-08T17:15:09Z,https://www.npr.org/2024/12/08/g-s1-37377/trump-meet-the-press-tariffs,"President-elect Trump lays out plan for his first 100 days during interview with NBC News' ""Meet the Press."""
'We're absolutely in panic mode': Toymakers are bracing for Trump's tariffs,NPR,2024-12-10T11:00:00Z,https://www.npr.org/2024/12/09/nx-s1-5215842/toymakers-trump-tariffs-china-mexico,Toy companies are preparing for tariffs in the new Trump administration. Nearly all toys sold in the U.S. are imported — mostly from China.
How will Trump's tariffs impact UK and EU trade?,Yahoo Entertainment,2024-11-28T06:00:00Z,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_bcdcdc76-8e14-4166-bfbb-7791251a3f1b,
Mexico Threatens Retaliatory Tariffs in Response to Trump,Time,2024-11-27T03:30:00Z,https://time.com/7198692/mexico-retaliatory-tariffs-trump-sheinbaum/,President Claudia Sheinbaum said she was willing to engage in talks on the issues of drugs and migration but suggested that the U.S. shared blame for its problems.
Trump is directing the trade war even before he takes office. Surprise tariffs were just the start.,Business Insider,2024-11-27T07:48:08Z,https://www.businessinsider.com/trump-tariff-trade-war-threats-china-canada-mexico-markets-frontloading-2024-11,"Trump's early tariff announcements on Mexico, Canada, and China are just the ""opening move,"" wrote one trade-focused attorney."
Trump tariffs would increase the price of cars made by US automakers by over $2K: Wells Fargo,Business Insider,2024-11-28T13:12:51Z,https://www.businessinsider.com/trump-tariffs-raise-us-car-prices-thousands-mexico-wells-fargo-2024-11,"US car prices would rise by over $2,000 if President-elect Donald Trump pushed ahead with tariffs on Canada and Mexico, Wells Fargo said in a note."
Why some influencers are talking tariffs ahead of Trump presidency,ABC News,2024-11-20T22:45:58Z,https://abcnews.go.com/GMA/Living/stock-sticker-shock-influencers-talking-tariffs-ahead-trump/story?id=116046459,ABC News' Elizabeth Schulze spoke to Walmart about the potential rising cost of goods if new tariffs go into effect next year.
What have past Republican presidents said about tariffs?,ABC News,2024-11-27T21:18:12Z,https://abcnews.go.com/Business/past-republican-presidents-tariffs/story?id=116268942,"""Trump's rhetoric is completely different,"" one expert said."
